,sentence
15749,  This turned out lucky for Cao Cao who now found himself with a fresh force.
15750," He sent Ma Yan and Zhang Yi, with a thousand troops, to clear the road ahead while the others remained as guard."
15751, And he felt much more secure.
15752,"  The two went forward, but before they had gone very far, they heard a shouting and a party of soldiers came out, the leader of them shouting,	I am Gan Ning of Wu!"
15753,"  Nothing daunted the two leaders, but the redoubtable Gan Ning cut down Ma Yan; and when his brother warrior Zhang Yi set his spear and dashed forward, he too fell beneath a stroke from the fearsome sword of Gan Ning."
15754," Both leaders dead, the soldiers fled to give Cao Cao the bad news."
15755,"  At this time Cao Cao expected aid from Hefei, for he knew not that Sun Quan was barring the road."
15756," But when Sun Quan saw the fires and so knew that his soldiers had won the day, he ordered Lu Xun to give the answering signal."
15757," Taishi Ci seeing this came down and his force joined up with that of Lu Xun, and they went against Cao Cao."
15758,"  As for Cao Cao, he could only get away toward Yiling."
15759, On the road Cao Cao fell in with Zhang He and ordered him to protect the retreat.
15760, Cao Cao pressed on as quickly as possible.
15761,  At the fifth watch he was a long way from the glare and he felt safer.
15762," He asked,	What is this place?"
15763,"	They told him,	It is west of the Black Forest and north of Yidu."
15764,"  Seeing the thickly crowded trees all about him, and the steep hills and narrow passes, Cao Cao threw up his head and laughed."
15765,"  Those about him asked,	Why are you, Sir, so merry?"
15766,"  And he said,	I am only laughing at the stupidity of Zhou Yu and the ignorance of Zhuge Liang."
15767," If they have only set an ambush there, as I would have done, why, there is no escape."
15768,  Cao Cao had scarcely finished his explanation when from both sides came a deafening roll of drums and flames sprang up to heaven.
15769, Cao Cao nearly fell off his horse he was so startled.
15770," And from the side dashed in a troop, with Zhao Yun leading, who cried,	I am Zhao Yun, and long have I been waiting here!"
15771,"  Cao Cao ordered Xu Huang and Zhang He to engage this new opponent, and he himself rode off into the smoke and fire."
15772," Zhao Yun did not pursue; he only captured the banners, and Cao Cao escaped."
15773,"  The faint light of dawn showed a great black cloud all around, for the southeast wind had not ceased."
15774," Suddenly began a heavy downpour of rain, wetting every one to the skin, but still Cao Cao maintained his headlong flight till the starved faces of the soldiers made a halt imperative."
15775, He told the men to forage in the villages about for grain and the means of making a fire.
15776," But when these had been found and they began to cook a meal, another pursuing party came along, and Cao Cao again was terrified."
15777," However, these proved to be Li Dian and Xu Chu escorting some of his advisers whom he saw with joy."
15778,"  When giving the order to advance again, Cao Cao asked,	What places lay ahead?"
15779,"  They told him,	There are two roads; one was the highway to South Yiling, and the other a mountain road to North Yiling."
15780,  Which is the shorter way to Jiangling?
15781,	asked Cao Cao.
15782,"  The best way is to take the south road through Hulu Valley,	was the reply."
15783,  So Cao Cao gave orders to march that way.
15784," By the time Hulu Valley was reached, the soldiers were almost starving and could march no more; horses too were worn out."
15785, Many had fallen by the roadside.
15786," A halt was then made, food was taken by force from the villagers, and as there were still some boilers left, they found a dry spot beside the hills where they could rest and cook."
15787," And there they began to prepare a meal, boiling grain, and roasting strips of horse flesh."
15788, Then they took off their wet clothes and spread them to dry.
15789," The beasts, too, were unsaddled and turned out to graze."
15790,"  Seated comfortably in a somewhat open spot, Cao Cao suddenly looked up and began to laugh loud and long."
15791,"  His companions, remembering the sequel of his last laugh, said,	Not long since, Sir, you laughed at Zhou Yu and Zhuge Liang; that resulted in the arrival of Zhao Yun and great loss of troops to us."
15792, Why do you now laugh?
15793,    I am laughing again at the ignorance of the same two men.
15794," If I were in their place, and conducting their campaign, I should have had an ambush here, just to meet us when we were tired out."
15795," Then, even if we escaped with our lives, we should suffer very severely."
15796," They did not see this, and therefore I am laughing at them."
15797,	Even at that moment behind them rose a great yell.
15798," Thoroughly startled, Cao Cao threw aside his breastplate and leaped upon his horse."
15799," Most of the soldiers failed to catch theirs, and then fires sprang up on every side and filled the mouth of the valley."
15800," A force was arrayed before them and at the head was the man of ancient Yan, Zhang Fei, seated on his steed with his great spear leveled."
15801,"  Whither would you flee, O rebel?"
15802,	shouted he.
15803,  The soldiers grew cold within at the sight of the terrible warrior.
15804," Xu Chu, mounted on a bare−backed horse, rode up to engage him, and Zhang Liao and Xu Huang galloped up to his aid."
15805," The three gathered about Zhang  Fei and a melee began, while Cao Cao made off at top speed."
15806," The other leaders set off after him, and Zhang Fei pursued."
15807," However, Cao Cao by dint of hard riding got away, and gradually the pursuers were out−distanced."
15808,  But many had received wounds.
15809, As they were going.
15810," the soldiers said,	There are two roads before us; which shall we take?"
15811,  Which is the shorter?
15812,	asked Cao Cao.
15813,"    The high road is the more level, but it is fifteen miles longer than the bye road which goes to Huarong Valley."
15814," Only the latter road is narrow and dangerous, full of pits and difficult."
15815,  Cao Cao sent men up to the hill tops to look around.
15816," They returned, saying:	There are several columns of smoke rising from the hills along the bye road."
15817, The high road seems quiet.
15818,  Then Cao Cao bade them lead the way along the bye road.
15819,"  Where smoke arises there are surely soldiers,	remarked the officers."
15820,	Why go this way?
15821,"    Because the 'Book of War' says that the hollow is to be regarded as solid, and the solid as hollow."
15822, That fellow Zhuge Liang is very subtle and has sent people to make those fires so that we should not go that way.
15823, He has laid an ambush on the high road.
15824," I have made up my mind, and I will not fall a victim to his wiles."
15825,"  O Prime Minister, your conclusions are most admirable."
15826," None other can equal you,	said the officers."
